Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1_get_method,750,1050,137,19346,3517.83,0.000%,24.17172,4.01,3.52,170.0
2_user_info_2,750,961,145,19347,3262.49,0.000%,24.17561,10.98,5.81,465.0
3_user_info_3,750,943,138,19291,3257.78,0.000%,24.19199,8.76,5.81,371.0
4_object_info_1,750,1085,139,19340,3601.27,0.000%,24.22715,5.49,3.88,232.0
5_object_info_2,750,1083,136,19315,3550.92,0.000%,24.20995,10.99,3.88,465.0
6_object_info_3,750,1172,135,19365,3756.86,0.000%,24.21308,12.44,3.88,526.0
7_object_info_4,750,1047,137,19364,3522.60,0.000%,24.23028,5.63,3.88,238.0
TOTAL,5250,1049,135,19365,3500.40,0.000%,164.12918,56.49,29.70,352.4
