Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1_get_method,1500,1823,137,75001,4787.36,0.067%,18.82341,3.15,2.74,171.6
2_user_info_2,1500,1899,135,35437,4808.30,0.000%,18.82388,8.55,4.52,465.0
3_user_info_3,1500,1964,135,35452,4563.24,0.000%,18.82790,6.82,4.52,371.0
4_object_info_1,1500,2108,135,67199,5160.40,0.000%,18.82554,4.27,3.02,232.0
5_object_info_2,1500,2020,135,35699,4813.95,0.000%,18.82932,8.55,3.02,465.0
6_object_info_3,1500,2306,135,35462,5634.03,0.000%,18.84280,9.68,3.02,526.0
7_object_info_4,1500,2105,136,35460,4916.03,0.000%,18.85583,4.38,3.02,238.0
TOTAL,10500,2032,135,75001,4967.43,0.010%,130.24548,44.86,23.57,352.7
